"Titel";"Land";"Stad";"Från";"Till"
"AWS re:Invent";"United States";"Las Vegas";"2026-11-30";"2026-12-04"
"DockerCon";"United States";"San Jose";"2026-09-23";"2026-09-25"
"GitHub Universe";"United States";"San Francisco";"2026-10-28";"2026-10-30"
"Google Pixel Launch";"United States";"TBC";"2026-08-20";"2026-08-20"
"Meta Connect";"United States";"Los Angeles";"2026-09-23";"2026-09-24"
"Microsoft Surface Event";"United States";"Los Angeles";"TBC";"TBC"
"NVIDIA GTC";"United States";"San Jose";"2027-03-15";"2027-03-20"
"Red Hat Summit";"United States";"Los Angeles";"TBC";"TBC"
"Salesforce Dreamforce";"United States";"San Francisco";"2026-09-15";"2026-09-17"
"Samsung Galaxy Unpacked";"United States";"Los Angeles";"2027-01-22";"2027-01-22"
"Stanley Cup Final";"United States";"NHL arenas";"2026-04-18";"2026-06-22"
"BET Awards";"United States";"Los Angeles";"2026-06-14";"2026-06-14"
"Microsoft Build";"United States";"San Francisco";"2026-06-02";"2026-06-03"
"NBA Finals";"United States";"San Antonio / New York";"2026-06-03";"2026-06-19"
"Apple WWDC";"United States";"Cupertino";"2026-06-08";"2026-06-12"
"FIFA World Cup";"Canada / Mexico / United States";"Mexico City / Toronto / New York region";"2026-06-11";"2026-07-19"
"Anime Expo";"United States";"Los Angeles";"2026-07-02";"2026-07-05"
"Calgary Stampede";"Canada";"Calgary";"2026-07-03";"2026-07-12"
"Comic-Con International 2026";"United States";"San Diego";"2026-07-23";"2026-07-26"
"US Open Tennis";"United States";"New York";"2026-08-24";"2026-09-13"
"Burning Man";"United States";"Black Rock City";"2026-08-30";"2026-09-07"
"PAX West";"United States";"Seattle";"2026-09-04";"2026-09-07"
"MTV Video Music Awards";"United States";"USA";"2026-09-06";"2026-09-06"
"Emmy Awards";"United States";"Los Angeles";"2026-09-14";"2026-09-14"
"Dragon Con";"United States";"Atlanta";"2026-09-03";"2026-09-07"
"New York Fashion Week";"United States";"New York";"2026-09-10";"2026-09-15"
"New York Comic Con";"United States";"New York";"2026-10-08";"2026-10-11"
"North American Sauna Summit";"United States";"Minneapolis";"2026-10-16";"2026-10-18"
"United States Grand Prix";"United States";"Austin, Texas";"2026-10-23";"2026-10-25"
"World Series 2026";"United States";"USA";"2026-10-23";"2026-11-01"
"Mexico City Grand Prix";"Mexico";"Mexico City";"2026-10-30";"2026-11-01"
"Day of the Dead";"Mexico";"TBC";"2026-11-01";"2026-11-02"
"New York City Marathon";"United States";"TBC";"2026-11-01";"2026-11-01"
"Las Vegas Grand Prix";"United States";"Las Vegas";"2026-11-19";"2026-11-21"
"American Song Contest";"United States";"Los Angeles";"TBC";"TBC"
"Army Navy Game";"United States";"Philadelphia";"2027-12-11";"2027-12-11"
"Bolder Boulder";"United States";"Boulder";"2027-05-31";"2027-05-31"
"Breeders Cup";"United States";"Los Angeles";"TBC";"TBC"
"Caribbean Series";"Mexico";"Mexico City";"2027-01-30";"2027-02-06"
"Carnaval de Quebec Night Parade";"Canada";"Toronto";"2027-02-07";"2027-02-14"
"Chicago Marathon";"United States";"Chicago";"2027-10-10";"2027-10-10"
"Coachella";"United States";"Indio";"2027-04-11";"2027-04-18"
"College Football Playoff National Championship";"United States";"Las Vegas";"TBC";"TBC"
"College World Series";"United States";"Omaha";"2026-06-12";"2026-06-22"
"Cotton Bowl Classic";"United States";"Los Angeles";"TBC";"TBC"
"D23 Expo";"United States";"Los Angeles";"TBC";"TBC"
"Daytona 500";"United States";"Daytona Beach";"2027-02-21";"2027-02-21"
"DreamHack Dallas";"United States";"Los Angeles";"TBC";"TBC"
"Fan Expo Canada";"Canada";"Toronto";"2026-08-27";"2026-08-30"
"Frieze New York";"United States";"New York";"2027-05-06";"2027-05-10"
"Galapagos Wildlife Season";"United States";"expected season";"2027-06-01";"2027-11-30"
"GlobalFEST New York";"United States";"Los Angeles";"TBC";"TBC"
"Golden Globe Awards";"United States";"Beverly Hills";"2027-01-10";"2027-01-10"
"Home Run Derby";"United States";"Los Angeles";"2026-07-13";"2026-07-13"
