"slug","title","url","compactHref","category","topic","reach","start","end","meta","dateStatus","dateCertaintyLabel","displayedDate","dateNote","sourceStatus"
"afl-dreamtime-at-the-g","AFL Dreamtime at the G","/content/categories/sport/aussie-rules/events/afl-dreamtime-at-the-g.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"afl-gather-round","AFL Gather Round","/content/categories/sport/aussie-rules/events/afl-gather-round.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Searched official and ticket/travel sources; AFL Gather Round 2027 dates have not yet been announced by the AFL.","researched-no-date"
"afl-international-rules-series","AFL International Rules Series","/content/categories/sport/aussie-rules/events/afl-international-rules-series.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"american-song-contest","American Song Contest","/content/categories/music/song-contests/events/american-song-contest.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"amstel-gold-race","Amstel Gold Race","/content/categories/sport/cycling/events/amstel-gold-race.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"asia-cup-cricket-final","Asia Cup Cricket Final","/content/categories/sport/cricket/events/asia-cup-cricket-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"bafta-film-awards","BAFTA Film Awards","/content/categories/culture/awards/events/bafta-film-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","BAFTA official pages list the 2026 ceremony and 2026 awards timeline; no 2027 Film Awards date found.","researched-no-date"
"benidorm-fest","Benidorm Fest","/content/categories/music/song-contests/events/benidorm-fest.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","RTVE has opened Benidorm Fest 2027 submissions, confirming the edition exists, but no show-week dates were found.","researched-no-date"
"biennale-of-sydney","Biennale of Sydney","/content/categories/culture/art/events/biennale-of-sydney.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"breeders-cup","Breeders Cup","/content/categories/sport/horse-racing/events/breeders-cup.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"brit-awards","Brit Awards","/content/categories/culture/awards/events/brit-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"carnival-of-santa-cruz-de-tenerife","Carnival of Santa Cruz de Tenerife","/content/categories/culture/carnival/events/carnival-of-santa-cruz-de-tenerife.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"celtic-connections","Celtic Connections","/content/categories/music/world-music/events/celtic-connections.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cesar-awards","Cesar Awards","/content/categories/culture/awards/events/cesar-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"champions-hockey-league-final","Champions Hockey League Final","/content/categories/sport/ice-hockey/events/champions-hockey-league-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cologne-carnival","Cologne Carnival","/content/categories/culture/carnival/events/cologne-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cotton-bowl-classic","Cotton Bowl Classic","/content/categories/sport/american-football/events/cotton-bowl-classic.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"d23-expo","D23 Expo","/content/categories/culture/pop-culture/events/d23-expo.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dakar-rally","Dakar Rally","/content/categories/sport/motorsport/events/dakar-rally.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dreamhack-dallas","DreamHack Dallas","/content/categories/culture/gaming/events/dreamhack-dallas.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dublin-tech-summit","Dublin Tech Summit","/content/categories/culture/tech-events/events/dublin-tech-summit.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"euroleague-final-four","EuroLeague Final Four","/content/categories/sport/basketball/events/euroleague-final-four.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"european-championships","European Championships","/content/categories/sport/multi-sport/events/european-championships.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"european-rugby-champions-cup-final","European Rugby Champions Cup Final","/content/categories/sport/rugby/events/european-rugby-champions-cup-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"festival-au-desert","Festival au Desert","/content/categories/music/world-music/events/festival-au-desert.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"globalfest-new-york","GlobalFEST New York","/content/categories/music/world-music/events/globalfest-new-york.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"icc-champions-trophy","ICC Champions Trophy","/content/categories/sport/cricket/events/icc-champions-trophy.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"ice-magic-lake-louise","Ice Magic Lake Louise","/content/categories/culture/winter/events/ice-magic-lake-louise.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"invictus-games","Invictus Games","/content/categories/sport/multi-sport/events/invictus-games.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"la-tomatina","La Tomatina","/content/categories/culture/food-drink/events/la-tomatina.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"liege-bastogne-liege","Liege Bastogne Liege","/content/categories/sport/cycling/events/liege-bastogne-liege.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"locarno-film-festival","Locarno Film Festival","/content/categories/culture/film/events/locarno-film-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
