"Titel";"år";"lokation";"datum"
"World Glacier Day";"2027";"Global, Worldwide observance";"21 March 2027"
"World Reef Day";"2027";"Global, Worldwide observance";"1 June 2027"
"World Ranger Day";"2026";"Global, Worldwide observance";"31 July 2026"
"Earth Day";"2027";"Local communities, TBC, Global local actions";"22 Apr 2027"
"World Environment Day";"2027";"Worldwide, Global, Worldwide observance";"5 Jun 2027"
"Wildfire Community Preparedness Day";"2027";"Los Angeles, United States";"2027 date TBC"
"World Meteorological Day";"2027";"Geneva, Switzerland, World Meteorological Organization";"23 Mar 2027"
"Art Basel";"2027";"Basel, Switzerland";"2027 date TBC"
"Bali Arts Festival";"2026";"Indonesia, TBC";"13 Jun - 11 Jul 2026"
"Biennale of Sydney";"2027";"Sydney, Australia";"2027 date TBC"
"Burning Man";"2026";"Black Rock City, USA";"29 Aug 2026 - 6 Sept 2026"
"Frieze London";"2026";"London, United Kingdom";"14-18 Oct 2026 - expected"
"Frieze New York";"2027";"New York, United States";"6-10 May 2026 - expected"
"Medellín Flower Festival";"2026";"Medellin, Colombia";"31 Jul 2026 - 15 Aug 2026"
"TEFAF Maastricht";"2027";"Maastricht, Netherlands";"2027 date TBC"
"Venice Biennale Arte";"2027";"Venice, Italy";"2027 date TBC"
"Vivid Sydney";"2026";"Sydney, Australia, Sydney CBD and harbour precincts";"22 May - 13 June 2026"
"BAFTA Film Awards";"2027";"London, United Kingdom";"2027 date TBC"
"BET Awards";"2027";"Los Angeles, United States";"2027 watchlist"
"Brit Awards";"2027";"London, United Kingdom";"2027 watchlist"
"Cesar Awards";"2027";"Paris, France";"2027 date TBC"
"Emmy Awards";"2027";"Los Angeles, United States";"2027 watchlist"
"Golden Globe Awards";"2027";"Los Angeles, United States";"2027 watchlist"
"Grammy Awards";"2027";"Los Angeles, United States";"1 Feb 2027 - 28 Feb 2027"
"MTV Video Music Awards";"2027";"Los Angeles, United States";"2027 watchlist"
"Academy Awards / Oscars";"2027";"Los Angeles, United States";"28 Mar 2027 - 7 Mar 2027"
"Tony Awards";"2027";"New York City, United States";"2027 watchlist"
"Calabar Carnival";"2026";"Nigeria, TBC";"1 Dec 2026 - 31 Dec 2026"
"Calgary Stampede";"2026";"Calgary, Canada";"2 Jul 2026 - 11 Jul 2026"
"Carnival of Santa Cruz de Tenerife";"2027";"Santa Cruz de Tenerife, Spain";"2027 date TBC"
"Cologne Carnival";"2027";"Cologne, Germany";"2027 date TBC"
"Nice Carnival";"2027";"Nice, France";"2027 date TBC"
"Notting Hill Carnival";"2027";"London, United Kingdom";"2027 date TBC"
"Quebec Winter Carnival";"2027";"Quebec City, Canada";"2027 date TBC"
"Rio Carnival";"2027";"Rio de Janeiro, Brazil";"2027 date TBC"
"Trinidad Carnival";"2027";"Port of Spain, Trinidad and Tobago";"2027 date TBC"
"Venice Carnival";"2027";"Venice, Italy, Venice citywide";"30 Jan - 9 Feb 2027"
"Copenhagen Fashion Week";"2027";"Copenhagen, Denmark";"2027 date TBC"
